iter	Passed	Remaining
0	2	218
1	4	201
2	6	194
3	7	182
4	9	189
5	11	184
6	13	181
7	15	179
8	17	177
9	19	175
10	21	174
11	23	173
12	25	170
13	27	169
14	29	166
15	30	159
16	31	151
17	31	144
18	32	138
19	33	132
20	33	126
21	34	121
22	35	117
23	35	113
24	36	109
25	37	105
26	37	102
27	38	99
28	39	96
29	39	93
30	40	90
31	41	87
32	41	84
33	42	82
34	43	80
35	43	78
36	44	75
37	45	74
38	46	71
39	46	70
40	47	68
41	47	65
42	48	64
43	48	62
44	49	60
45	50	59
46	51	57
47	51	56
48	52	54
49	53	53
50	53	51
51	54	50
52	55	49
53	55	47
54	56	46
55	57	44
56	57	43
57	58	42
58	59	41
59	59	39
60	60	38
61	61	37
62	61	36
63	62	35
64	63	34
65	63	32
66	64	31
67	65	30
68	66	29
69	66	28
70	67	27
71	68	26
72	68	25
73	69	24
74	70	23
75	70	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	75	16
82	75	15
83	76	14
84	77	13
85	77	12
86	78	11
87	79	10
88	79	9
89	80	8
90	81	8
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	85	1
98	86	0
99	87	0
